,id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_basement,yr_built,yr_renovated,zipcode
0,7129300520,221900.0,3,1.0,1180,5650,1.0,0,0,3,3,0.0,1955,0.0,98178
1,6414100192,538000.0,3,2.25,2570,7242,2.0,0,0,3,3,400.0,1951,1991.0,98125
2,5631500400,180000.0,2,1.0,770,10000,1.0,0,0,3,2,0.0,1933,0.0,98028
3,2487200875,604000.0,4,3.0,1960,5000,1.0,0,0,4,3,910.0,1965,0.0,98136
4,1954400510,510000.0,3,2.0,1680,8080,1.0,0,0,3,4,0.0,1987,0.0,98074
5,7237550310,1230000.0,4,4.5,5420,101930,1.0,0,0,3,7,1530.0,2001,0.0,98053
6,1321400060,257500.0,3,2.25,1715,6819,2.0,0,0,3,3,0.0,1995,0.0,98003
7,2008000270,291850.0,3,1.5,1060,9711,1.0,0,0,3,3,0.0,1963,0.0,98198
8,2414600126,229500.0,3,1.0,1780,7470,1.0,0,0,3,3,730.0,1960,0.0,98146
9,3793500160,323000.0,3,2.5,1890,6560,2.0,0,0,3,3,0.0,2003,0.0,98038
10,1736800520,662500.0,3,2.5,3560,9796,1.0,0,0,3,4,1700.0,1965,0.0,98007
11,9212900260,468000.0,2,1.0,1160,6000,1.0,0,0,2,3,300.0,1942,0.0,98115
12,114101516,310000.0,3,1.0,1430,19901,2.0,0,0,2,3,0.0,1927,0.0,98028
13,6054650070,400000.0,3,1.75,1370,9680,1.0,0,0,2,3,0.0,1977,0.0,98074
14,1175000570,530000.0,5,2.0,1810,4850,2.0,0,0,3,3,0.0,1900,0.0,98107
15,9297300055,650000.0,4,3.0,2950,5000,2.0,0,3,3,5,970.0,1979,0.0,98126
16,1875500060,395000.0,3,2.0,1890,14040,2.0,0,0,3,3,0.0,1994,0.0,98019
17,6865200140,485000.0,4,1.0,1600,4300,2.0,0,0,2,3,0.0,1916,0.0,98103
18,16000397,189000.0,2,1.0,1200,9850,1.0,0,0,2,3,0.0,1921,0.0,98002
19,7983200060,230000.0,3,1.0,1250,9774,1.0,0,0,2,3,0.0,1969,0.0,98003
20,6300500875,385000.0,4,1.75,1620,4980,1.0,0,0,2,3,760.0,1947,0.0,98133
21,2524049179,2000000.0,3,2.75,3050,44867,1.0,0,4,3,5,720.0,1968,0.0,98040
22,7137970340,285000.0,5,2.5,2270,6300,2.0,0,0,3,4,0.0,1995,0.0,98092
